Date,ASII.JK,ADRO.JK,ANTM.JK,MDKA.JK,BMRI.JK,INDF.JK,^JKSE
2025-07-22,4389.13525390625,1732.6942138671875,2960.0,2340.0,4195.8359375,8225.0,7344.73583984375
2025-07-23,4632.45654296875,1781.19189453125,3040.0,2440.0,4213.84423828125,8350.0,7469.22998046875
2025-07-24,4726.04150390625,1741.511962890625,3030.0,2420.0,4321.8916015625,8350.0,7530.90185546875
2025-07-25,4679.2490234375,1688.605224609375,2970.0,2370.0,4222.84814453125,8400.0,7543.5029296875
2025-07-28,4772.833984375,1697.4229736328125,2970.0,2590.0,4231.85205078125,8375.0,7614.76806640625
2025-07-29,4772.833984375,1693.01416015625,3000.0,2640.0,4240.85595703125,8300.0,7617.9072265625
2025-07-30,4819.62646484375,1675.378662109375,2990.0,2550.0,4159.8203125,8375.0,7549.88818359375
2025-07-31,4772.833984375,1631.2896728515625,2850.0,2360.0,4060.77685546875,8525.0,7484.3369140625
2025-08-01,4679.2490234375,1644.516357421875,2880.0,2450.0,4078.784912109375,8475.0,7537.76806640625
2025-08-04,4702.64501953125,1675.378662109375,2910.0,2360.0,4159.8203125,8375.0,7464.64501953125
2025-08-05,4702.64501953125,1644.516357421875,2940.0,2330.0,4276.87158203125,8325.0,7515.18505859375
2025-08-06,4585.6640625,1640.107421875,3080.0,2400.0,4231.85205078125,8200.0,7503.75
2025-08-07,4641.814453125,1648.92529296875,3150.0,2490.0,4213.84423828125,8200.0,7490.18310546875
2025-08-08,4604.380859375,1578.3829345703125,3090.0,2470.0,4204.84033203125,8150.0,7533.384765625
2025-08-11,4585.6640625,1596.0185546875,2940.0,2390.0,4249.85986328125,8075.0,7605.9248046875
2025-08-12,4669.89013671875,1640.107421875,2900.0,2280.0,4420.93505859375,8050.0,7791.69677734375
2025-08-13,4843.0224609375,1613.6541748046875,2910.0,2280.0,4384.9189453125,8025.0,7892.9111328125
2025-08-14,4772.833984375,1622.471923828125,2890.0,2270.0,4366.9111328125,8150.0,7931.2509765625
2025-08-15,4702.64501953125,1596.0185546875,2900.0,2220.0,4366.9111328125,8050.0,7898.375
2025-08-19,5170.56982421875,1587.2008056640625,2810.0,2310.0,4321.8916015625,7925.0,7862.94921875
2025-08-20,5170.56982421875,1596.0185546875,2840.0,2320.0,4456.95068359375,7975.0,7943.8251953125
2025-08-21,5264.1552734375,1569.565185546875,2830.0,2280.0,4411.9306640625,7925.0,7890.71484375
2025-08-22,5334.34375,1565.15625,2820.0,2280.0,4402.9267578125,7850.0,7858.85107421875
2025-08-25,5381.13623046875,1534.2940673828125,2870.0,2260.0,4456.95068359375,7700.0,7926.9072265625
2025-08-26,5264.1552734375,1529.88525390625,2880.0,2230.0,4411.9306640625,7800.0,7905.7568359375
2025-08-27,5147.17333984375,1591.609619140625,2960.0,2390.0,4321.8916015625,7600.0,7936.17578125
2025-08-28,5217.3623046875,1560.7474365234375,2980.0,2510.0,4294.87939453125,7600.0,7952.087890625
2025-08-29,5147.17333984375,1547.520751953125,3040.0,2470.0,4258.86376953125,7450.0,7830.4931640625
2025-09-01,5100.380859375,1516.658447265625,3200.0,2490.0,4141.81298828125,7400.0,7736.06591796875
2025-09-02,5123.77734375,1516.658447265625,3470.0,2570.0,4114.80078125,7500.0,7801.5849609375
2025-09-03,5147.17333984375,1525.476318359375,3480.0,2550.0,4159.8203125,7700.0,7885.86279296875
2025-09-04,5147.17333984375,1551.9296875,3390.0,2620.0,4213.84423828125,7525.0,7867.34814453125
2025-09-08,5076.98486328125,1516.658447265625,3610.0,2640.0,4042.76953125,7425.0,7766.84912109375
2025-09-09,5170.56982421875,1485.7962646484375,3660.0,2700.0,3880.6982421875,7350.0,7628.60498046875
2025-09-10,5123.77734375,1485.7962646484375,3510.0,2600.0,3961.733642578125,7425.0,7699.0068359375
2025-09-11,5193.9658203125,1481.3873291015625,3390.0,2500.0,4033.76513671875,7475.0,7747.90478515625
2025-09-12,5310.94775390625,1472.569580078125,3490.0,2530.0,4069.781005859375,7550.0,7854.06005859375
2025-09-15,5264.1552734375,1481.3873291015625,3490.0,2520.0,4078.784912109375,7650.0,7937.1181640625
2025-09-16,5287.55126953125,1454.9339599609375,3600.0,2540.0,4033.76513671875,7650.0,7957.69580078125
2025-09-17,5334.34375,1476.978515625,3460.0,2490.0,4060.77685546875,7775.0,8025.17919921875
2025-09-18,5217.3623046875,1446.1162109375,3420.0,2370.0,3979.741455078125,7650.0,8008.43310546875
2025-09-19,5357.740234375,1468.1607666015625,3450.0,2380.0,3943.72607421875,7825.0,8051.1181640625
2025-09-22,5334.34375,1463.7518310546875,3580.0,2520.0,3979.741455078125,7850.0,8040.0390625
2025-09-23,5521.513671875,1551.9296875,3670.0,2450.0,3970.73779296875,7775.0,8125.201171875
2025-09-24,5521.513671875,1525.476318359375,3470.0,2280.0,3952.729736328125,7875.0,8126.55810546875
2025-09-25,5404.53271484375,1521.0675048828125,3170.0,2070.0,3925.71826171875,7750.0,8040.6650390625
2025-09-26,5498.11767578125,1499.02294921875,3210.0,2220.0,3979.741455078125,7650.0,8099.3330078125
2025-09-29,5404.53271484375,1521.0675048828125,3300.0,2200.0,3961.733642578125,7575.0,8123.2451171875
2025-09-30,5404.53271484375,1490.2052001953125,3160.0,2110.0,3961.733642578125,7225.0,8061.06201171875
2025-10-01,5310.94775390625,1472.569580078125,3210.0,2060.0,3943.72607421875,7100.0,8043.82177734375
2025-10-02,5334.34375,1472.569580078125,3110.0,2120.0,3925.71826171875,7025.0,8071.0810546875
2025-10-03,5451.3251953125,1463.7518310546875,3200.0,2120.0,3880.6982421875,7150.0,8118.30078125
2025-10-06,5451.3251953125,1459.3428955078125,3190.0,2130.0,3835.678466796875,7100.0,8139.89404296875
2025-10-07,5381.13623046875,1454.9339599609375,3140.0,2240.0,3862.690185546875,7225.0,8169.28076171875
2025-10-08,5357.740234375,1631.2896728515625,3330.0,2280.0,3826.6748046875,7250.0,8166.02880859375
2025-10-09,5544.90966796875,1525.476318359375,3220.0,2300.0,3952.729736328125,7150.0,8250.9384765625
2025-10-10,5521.513671875,1543.11181640625,3310.0,2370.0,3826.6748046875,7200.0,8257.859375
2025-10-13,5427.9287109375,1521.0675048828125,3370.0,2370.0,3808.6669921875,7200.0,8227.2021484375
2025-10-14,5545.0166015625,1503.431884765625,3350.0,2350.0,3682.611572265625,7050.0,8066.52197265625
2025-10-15,5497.419921875,1481.3873291015625,3400.0,2350.0,3646.595947265625,6900.0,8051.1748046875
2025-10-16,5473.62158203125,1476.978515625,3430.0,2400.0,3682.611572265625,7075.0,8124.7568359375
2025-10-17,5354.6298828125,1454.9339599609375,3450.0,2340.0,3646.595947265625,7125.0,7915.65576171875
2025-10-20,5640.2099609375,1494.6141357421875,3270.0,2280.0,3871.6943359375,7250.0,8088.97802734375
